,     Teams           ,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS
,903 Washington,"Gray, Josiah (R)",+110,8,0,1,2,1,0,0,3,0,0,7,13,0,Cover: +110
,904 Miami,"Hernandez, Elieser (R)",-130,,0,0,0,1,0,1,0,0,3,5,10,0,Over: 12
,     Teams           ,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS
,905 St. Louis,"Mikolas, Miles (R)",+120,9,2,4,0,1,0,0,1,2,0,10,15,0,Cover: +120
,906 Milwaukee,"Anderson, Brett (L)",-130,,0,0,0,0,1,0,1,0,0,2,4,2,Over: 12
,     Teams           ,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS
,907 L.A. Dodgers,"Buehler, Walker (R)",-200,10.5,0,0,0,3,2,0,0,0,0,5,7,1,Over: 15
,908 Colorado,"Márquez, Germán (R)",+180,,0,0,0,5,1,0,4,0,0,10,12,1,Cover: +180
,     Teams           ,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS
,909 Atlanta,"Anderson, Ian (R)",-175,9,3,0,1,0,2,0,0,0,3,9,11,0,Cover: +100
,910 Arizona,"Kelly, Merrill (R)",+160,,1,0,0,0,0,0,0,1,0,2,6,1,Over: 11
,     Teams           ,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS
,911 San Francisco,"Kazmir, Scott (L)",-105,9.5,3,0,0,0,0,2,3,0,0,8,12,1,Cover: +100
,912 San Diego,"Velasquez, Vince (R)",-115,,0,0,0,0,1,0,3,0,2,6,13,1,Over: 14
,     Teams           ,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS
,915 Toronto,"Merryweather, Julian (R)",+100,9,0,0,0,0,0,1,0,0,0,1,4,0,Under: 8
,916 Tampa Bay,"Patiño, Luis (R)",-110,,0,0,6,1,0,0,0,0,0,7,11,1,Cover: +100
,     Teams           ,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS
,919 Texas,"Hearn, Taylor (L)",+220,9,0,1,0,1,1,0,0,0,0,3,8,1,Over: 10
,920 N.Y. Yankees,"Kluber, Corey (R)",-270,,0,0,0,0,2,1,0,4,0,7,9,2,Cover: +100
,     Teams           ,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,10,11,12,R,H,E,ATS
,921 Houston,"Garcia, Luis (R)",-200,9.5,2,0,0,0,1,0,0,2,0,0,0,4,9,12,0,Cover: +100
,922 L.A. Angels,"Junk, Janson (R)",+180,,0,0,0,0,0,0,5,0,0,0,0,0,5,9,0,Over: 14
,     Teams           ,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS
,923 Seattle,"Flexen, Chris (R)",+120,8.5,0,0,0,2,1,0,1,0,0,4,9,0,Cover: +120
,924 Oakland,"Irvin, Cole (L)",-145,,0,0,0,0,1,0,0,0,0,1,4,0,Under: 5
,     Teams           ,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS
,925 Baltimore,"Akin, Keegan (L)",+290,8,0,0,0,0,0,1,1,1,0,3,7,0,Under: 7
,926 Philadelphia,"Wheeler, Zack (R)",-350,,0,0,0,0,0,2,2,0,0,4,10,0,Cover: +100
,     Teams           ,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS
,927 N.Y. Mets,"Walker, Taijuan (R)",+155,9.5,0,1,0,0,1,1,1,0,1,5,11,2,Over: 17
,928 Boston,"Sale, Chris (L)",-170,,2,4,3,1,1,1,0,0,0,12,14,0,Cover: +100
,     Teams           ,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS
,929 Minnesota,"Ryan, Joe (R)",-115,7,2,0,0,1,0,1,0,0,1,5,9,0,Cover: +100
,930 Chi. Cubs,"Hendricks, Kyle (R)",-105,,0,2,0,0,0,0,0,0,2,4,7,1,Over: 9
,     Teams           ,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS
,901 Pittsburgh,"Crowe, Wil (R)",+240,8.5,,,,,,,,,,,,,
,902 Cincinnati,"Castillo, Luis (R)",-280,,,,,,,,,,,,,,
,     Teams           ,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS
,913 Chi. White Sox,"López, Reynaldo (R)",-170,9,,,,,,,,,,,,,
,914 Detroit,"Mize, Casey (R)",+155,,,,,,,,,,,,,,
,     Teams           ,Pitchers,ML,O/U,1,2,3,4,5,6,7,8,9,R,H,E,ATS
,917 Kansas City,"Hernández, Carlos (R)",-110,8.5,,,,,,,,,,,,,
,918 Cleveland,"Allen, Logan (L)",+100,,,,,,,,,,,,,,
